word,phonemes,mx_ipa
a,['A'],a
ababa,"['a', 'B', 'A', 'B', 'a']",aβaβa
abacería,"['a', 'B', 'a', 'T', 'e', 'r', 'I', 'a']",aβasɛɾia
abacero,"['a', 'B', 'a', 'T', 'E', 'r', 'o']",aβasɛɾo
abad,"['a', 'B', 'A', 'd']",aβað
abada,"['a', 'B', 'A', 'D', 'a']",aβaða
abadejo,"['a', 'B', 'a', 'D', 'E', 'x', 'o']",aβaðɛxo
abadengo,"['a', 'B', 'a', 'D', 'E', 'n', 'g', 'o']",aβaðɛŋgo
abadernar,"['a', 'B', 'a', 'D', 'e', 'r', 'n', 'A', 'r']",aβaðɛɾnaɾ
abadesa,"['a', 'B', 'a', 'D', 'E', 's', 'a']",aβaðɛsa
abadía,"['a', 'B', 'a', 'D', 'I', 'a']",aβaðia
abadiato,"['a', 'B', 'a', 'D', 'J', 'A', 't', 'o']",aβaðjato
abajamiento,"['a', 'B', 'a', 'x', 'a', 'm', 'J', 'E', 'n', 't', 'o']",aβaxamjɛnto
abajar,"['a', 'B', 'a', 'x', 'A', 'r']",aβaxaɾ
abajeño,"['a', 'B', 'a', 'x', 'E', 'N', 'o']",aβaxɛɲo
abajo,"['a', 'B', 'A', 'x', 'o']",aβaxo
abalanzar,"['a', 'B', 'a', 'l', 'a', 'n', 'T', 'A', 'r']",aβalansaɾ
aballestar,"['a', 'B', 'a', 'Y', 'e', 's', 't', 'A', 'r']",aβaʎɛstaɾ
abalorio,"['a', 'B', 'a', 'l', 'O', 'r', 'j', 'o']",aβaloɾjo
abaluartar,"['a', 'B', 'a', 'l', 'w', 'a', 'r', 't', 'A', 'r']",aβalwaɾtaɾ
abanar,"['a', 'B', 'a', 'n', 'A', 'r']",aβanaɾ
abanderado,"['a', 'B', 'a', 'n', 'd', 'e', 'r', 'A', 'D', 'o']",aβandɛɾaðo
abanderamiento,"['a', 'B', 'a', 'n', 'd', 'e', 'r', 'a', 'm', 'J', 'E', 'n', 't', 'o']",aβandɛɾamjɛnto
abanderar,"['a', 'B', 'a', 'n', 'd', 'e', 'r', 'A', 'r']",aβandɛɾaɾ
abanderizar,"['a', 'B', 'a', 'n', 'd', 'e', 'r', 'i', 'T', 'A', 'r']",aβandɛɾisaɾ
abandonado,"['a', 'B', 'a', 'n', 'd', 'o', 'n', 'A', 'D', 'o']",aβandonaðo
abandonar,"['a', 'B', 'a', 'n', 'd', 'o', 'n', 'A', 'r']",aβandonaɾ
abandonismo,"['a', 'B', 'a', 'n', 'd', 'o', 'n', 'I', 's', 'm', 'o']",aβandonizmo
abandonista,"['a', 'B', 'a', 'n', 'd', 'o', 'n', 'I', 's', 't', 'a']",aβandonista
abandono,"['a', 'B', 'a', 'n', 'd', 'O', 'n', 'o']",aβandono
abanicar,"['a', 'B', 'a', 'n', 'i', 'k', 'A', 'r']",aβanikaɾ
abanico,"['a', 'B', 'a', 'n', 'I', 'k', 'o']",aβaniko
abaniqueo,"['a', 'B', 'a', 'n', 'i', 'k', 'E', 'o']",aβanikɛo
abaniquería,"['a', 'B', 'a', 'n', 'i', 'k', 'e', 'r', 'I', 'a']",aβanikɛɾia
abaniquero,"['a', 'B', 'a', 'n', 'i', 'k', 'E', 'r', 'o']",aβanikɛɾo
abanto,"['a', 'B', 'A', 'n', 't', 'o']",aβanto
abaratamiento,"['a', 'B', 'a', 'r', 'a', 't', 'a', 'm', 'J', 'E', 'n', 't', 'o']",aβaɾatamjɛnto
abaratar,"['a', 'B', 'a', 'r', 'a', 't', 'A', 'r']",aβaɾataɾ
abarbechar,"['a', 'B', 'a', 'r', 'b', 'e', 'C', 'A', 'r']",aβaɾβɛtʃaɾ
abarca,"['a', 'B', 'A', 'r', 'k', 'a']",aβaɾka
abarcable,"['a', 'B', 'a', 'r', 'k', 'A', 'b', 'l', 'e']",aβaɾkaβlɛ
abarcado,"['a', 'B', 'a', 'r', 'k', 'A', 'D', 'o']",aβaɾkaðo
abarcador,"['a', 'B', 'a', 'r', 'k', 'a', 'D', 'O', 'r']",aβaɾkaðoɾ
abarcadura,"['a', 'B', 'a', 'r', 'k', 'a', 'D', 'U', 'r', 'a']",aβaɾkaðuɾa
abarcamiento,"['a', 'B', 'a', 'r', 'k', 'a', 'm', 'J', 'E', 'n', 't', 'o']",aβaɾkamjɛnto
abarcar,"['a', 'B', 'a', 'r', 'k', 'A', 'r']",aβaɾkaɾ
