entry,phonemes,mappings
a,['A'],"[('a', 'A')]"
ab,"['A', 'b']","[('a', 'A'), ('b', 'b')]"
aba,"['A', 'B', 'a']","[('a', 'A'), ('b', 'B'), ('a', 'a')]"
ababol,"['a', 'B', 'a', 'B', 'O', 'l']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('b', 'B'), ('o', 'O'), ('l', 'l')]"
abacá,"['a', 'B', 'a', 'k', 'A']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'k'), ('á', 'A')]"
abacalero,"['a', 'B', 'a', 'k', 'a', 'l', 'E', 'r', 'o']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'k'), ('a', 'a'), ('l', 'l'), ('e', 'E'), ('r', 'r'), ('o', 'o')]"
abacería,"['a', 'B', 'a', 'T', 'e', 'r', 'I', 'a']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'T'), ('e', 'e'), ('r', 'r'), ('í', 'I'), ('a', 'a')]"
abacial,"['a', 'B', 'a', 'T', 'J', 'A', 'l']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'T'), ('i', 'J'), ('a', 'A'), ('l', 'l')]"
abacorabais,"['a', 'B', 'a', 'k', 'o', 'r', 'A', 'B', 'a', 'j', 's']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'k'), ('o', 'o'), ('r', 'r'), ('a', 'A'), ('b', 'B'), ('a', 'a'), ('i', 'j'), ('s', 's')]"
abacorábamos,"['a', 'B', 'a', 'k', 'o', 'r', 'A', 'B', 'a', 'm', 'o', 's']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'k'), ('o', 'o'), ('r', 'r'), ('á', 'A'), ('b', 'B'), ('a', 'a'), ('m', 'm'), ('o', 'o'), ('s', 's')]"
abacoraban,"['a', 'B', 'a', 'k', 'o', 'r', 'A', 'B', 'a', 'n']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'k'), ('o', 'o'), ('r', 'r'), ('a', 'A'), ('b', 'B'), ('a', 'a'), ('n', 'n')]"
abacorado,"['a', 'B', 'a', 'k', 'o', 'r', 'A', 'D', 'o']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'k'), ('o', 'o'), ('r', 'r'), ('a', 'A'), ('d', 'D'), ('o', 'o')]"
abacorando,"['a', 'B', 'a', 'k', 'o', 'r', 'A', 'n', 'd', 'o']","[('a', 'a'), ('b', 'B'), ('a', 'a'), ('c', 'k'), ('o', 'o'), ('r', 'r'), ('a', 'A'), ('n', 'n'), ('d', 'd'), ('o', 'o')]"
