entry,phonemes,ipa
a,['A'],/a/
aba,"['A', 'B', 'a']",/aβa/
abacería,"['a', 'B', 'a', 'T', 'e', 'r', 'I', 'a']",/aβaθeˈɾia/
abacero,"['a', 'B', 'a', 'T', 'E', 'r', 'o']",/aβaθeɾo/
ábaco,"['A', 'B', 'a', 'k', 'o']",/ˈaβako/
abad,"['a', 'B', 'A', 'd']",/aβað/
abada,"['a', 'B', 'A', 'D', 'a']",/aβaða/
abadejo,"['a', 'B', 'a', 'D', 'E', 'x', 'o']",/aβaðexo/
abadengo,"['a', 'B', 'a', 'D', 'E', 'n', 'g', 'o']",/aβaðeŋgo/
abadernabais,"['a', 'B', 'a', 'D', 'e', 'r', 'n', 'A', 'B', 'a', 'j', 's']",/aβaðeɾnaβais/
abadernábamos,"['a', 'B', 'a', 'D', 'e', 'r', 'n', 'A', 'B', 'a', 'm', 'o', 's']",/aβaðeˈɾnaβamos/
abadernáis,"['a', 'B', 'a', 'D', 'e', 'r', 'n', 'A', 'J', 's']",/aβaðeˈɾnais/
abadernaré,"['a', 'B', 'a', 'D', 'e', 'r', 'n', 'a', 'r', 'E']",/aβaðeɾnaˈɾe/
abadernaste,"['a', 'B', 'a', 'D', 'e', 'r', 'n', 'A', 's', 't', 'e']",/aβaðeɾnaste/
abadernó,"['a', 'B', 'a', 'D', 'e', 'r', 'n', 'O']",/aβaðeˈɾno/
abajeño,"['a', 'B', 'a', 'x', 'E', 'N', 'o']",/aβaxeɲo/
abalance,"['a', 'B', 'a', 'l', 'A', 'n', 'T', 'e']",/aβalanθe/
abalanza,"['a', 'B', 'a', 'l', 'A', 'n', 'T', 'a']",/aβalanθa/
abalorio,"['a', 'B', 'a', 'l', 'O', 'r', 'j', 'o']",/aβaloɾjo/
abaluarta,"['a', 'B', 'a', 'l', 'W', 'A', 'r', 't', 'a']",/aβalwaɾta/
abaluartaba,"['a', 'B', 'a', 'l', 'w', 'a', 'r', 't', 'A', 'B', 'a']",/aβalwaɾtaβa/
abanderice,"['a', 'B', 'a', 'n', 'd', 'e', 'r', 'I', 'T', 'e']",/aβandeɾiθe/
abandericé,"['a', 'B', 'a', 'n', 'd', 'e', 'r', 'i', 'k', 'E']",/aβandeɾiˈθe/
abarcable,"['a', 'B', 'a', 'r', 'k', 'A', 'b', 'l', 'e']",/aβaɾkaβle/
abarcadura,"['a', 'B', 'a', 'r', 'k', 'a', 'D', 'U', 'r', 'a']",/aβaɾkaðuɾa/
abdicativamente,"['a', 'b', 'd', 'i', 'k', 'a', 't', 'i', 'B', 'a', 'm', 'E', 'n', 't', 'e']",/aβðikatiβamente/
abducción,"['a', 'b', 'd', 'u', 'k', 'T', 'J', 'O', 'n']",/aβðuˈkθjon/
abigeato,"['a', 'B', 'i', 'x', 'e', 'A', 't', 'o']",/aβixeato/
abnegaba,"['a', 'b', 'n', 'e', 'G', 'A', 'B', 'a']",/aβneɣaβa/
abofetea,"['a', 'B', 'o', 'f', 'e', 't', 'E', 'a']",/aβofetea/
aboya,"['a', 'B', 'O', 'Y', 'a']",/aβoʝa/
abrepuño,"['a', 'b', 'r', 'e', 'p', 'U', 'N', 'o']",/aβɾepuɲo/
absolváis,"['a', 'b', 's', 'o', 'l', 'b', 'A', 'J', 's']",/aβsoˈlβais/
abúlico,"['a', 'B', 'u', 'l', 'I', 'k', 'o']",/aˈβuliko/
accésit,"['a', 'k', 's', 'E', 's', 'i', 't']",/aˈkθesit/
acentúa,"['a', 'T', 'E', 'n', 't', 'w', 'a']",/aθenˈtua/
agüera,"['a', 'G', 'W', 'E', 'r', 'a']",/aɣweɾa/
alengüe,"['a', 'l', 'E', 'n', 'g', 'w', 'e']",/aleŋgwe/
arnaúte,"['a', 'r', 'n', 'A', 'W', 't', 'e']",/aɾnaˈute/
atoxique,"['a', 't', 'o', 'k', 's', 'I', 'k', 'e']",/atoksike/
atoxiqué,"['a', 't', 'o', 'k', 's', 'i', 'k', 'E']",/atoksiˈke/
ay,"['A', 'J']",/ˈaj/
byte,"['b', 'I', 't', 'e']","/bait/, /'bite/"
caney,"['k', 'A', 'n', 'e', 'j']",/kanej/
caquexia,"['k', 'a', 'k', 'E', 'k', 's', 'j', 'a']",/kakeksja/
cuentakilómetros,"['k', 'w', 'e', 'n', 't', 'a', 'k', 'i', 'l', 'O', 'm', 'e', 't', 'r', 'o', 's']",/kwentakiˈlometɾos/
excomulgue,"['e', 'k', 's', 'k', 'o', 'm', 'U', 'l', 'g', 'e']",/ekskomulge/
excomulguemos,"['e', 'k', 's', 'k', 'o', 'm', 'u', 'l', 'g', 'E', 'm', 'o', 's']",/ekskomulgemos/
excrescencia,"['e', 'k', 's', 'k', 'r', 'e', 'T', 'E', 'n', 'T', 'j', 'a']",/ekskɾesθenθja/
excullado,"['e', 'k', 's', 'k', 'u', 'Y', 'A', 'D', 'o']",/ekskuʎaðo/
exequial,"['e', 'k', 's', 'e', 'k', 'J', 'A', 'l']",/eksekjal/
exequias,"['e', 'k', 's', 'E', 'k', 'j', 'a', 's']",/eksekjas/
exhala,"['e', 'k', 'S', 'A', 'l', 'a']",/eksala/
exoesqueleto,"['e', 'k', 's', 'o', 'e', 's', 'k', 'e', 'l', 'E', 't', 'o']",/eksoeskeleto/
exotiquez,"['e', 'k', 's', 'o', 't', 'I', 'k', 'e', 'T']",/eksotikeθ/
expillo,"['e', 'k', 's', 'p', 'I', 'Y', 'o']",/ekspiʎo/
explique,"['e', 'k', 's', 'p', 'l', 'I', 'k', 'e']",/eksplike/
expurgue,"['e', 'k', 's', 'p', 'U', 'r', 'g', 'e']",/ekspuɾɣe/
expurguemos,"['e', 'k', 's', 'p', 'u', 'r', 'g', 'E', 'm', 'o', 's']",/ekspuɾɣemos/
extingue,"['e', 'k', 's', 't', 'I', 'n', 'g', 'e']",/ekstiŋge/
extinguible,"['e', 'k', 's', 't', 'i', 'n', 'g', 'I', 'b', 'l', 'e']",/ekstiŋgiβle/
extrarradio,"['e', 'k', 's', 't', 'r', 'a', 'R', 'A', 'D', 'j', 'o']",/ekstɾaraðjo/
extraterrestre,"['e', 'k', 's', 't', 'r', 'a', 't', 'e', 'R', 'E', 's', 't', 'r', 'e']",/ekstɾaterestɾe/
hematoxilina,"['e', 'm', 'a', 't', 'o', 'k', 's', 'i', 'l', 'I', 'n', 'a']",/ematoksilina/
heterodoxia,"['e', 't', 'e', 'r', 'o', 'D', 'O', 'k', 's', 'j', 'a']",/eteɾoðoksja/
hidrotórax,"['i', 'd', 'r', 'o', 't', 'O', 'r', 'a', 'k', 's']",/iðɾoˈtoɾaks/
hipertexto,"['i', 'p', 'e', 'r', 't', 'E', 'k', 's', 't', 'o']",/ipeɾteksto/
homosexual,"['o', 'm', 'o', 's', 'e', 'k', 's', 'W', 'A', 'l']",/omosekswal/
irreflexión,"['i', 'R', 'e', 'f', 'l', 'e', 'k', 's', 'J', 'O', 'n']",/irefleˈksjon/
sesquióxido,"['s', 'e', 's', 'k', 'J', 'O', 'k', 's', 'i', 'D', 'o']",/seˈskjoksiðo/
sextuplique,"['s', 'e', 'k', 's', 't', 'u', 'p', 'l', 'I', 'k', 'e']",/sekstuplike/
software,"['s', 'o', 'f', 't', 'W', 'A', 'r', 'e']",/softwaɾe/
tú,"['t', 'U']",/ˈtu/
xifoideo,"['x', 'i', 'f', 'o', 'j', 'D', 'E', 'o']",/ksifoiðeo/
y,['i'],/i/
